target_type,original_chord_size,reduced_visible_count,held_before,baseline_completion_count,comparable_view_count,target_resolving_view_count,coverage_signature,trials,primary_competing_trials,unique_wrong_views
LongNoteHead,2,1,present,8,1,0,10000000,3,3,0
LongNoteHead,2,1,present,8,2,0,10100000,2,0,0
LongNoteHead,2,1,present,8,2,0,11000000,1,0,0
LongNoteHead,2,1,present,8,3,0,11001000,1,0,1
LongNoteHead,2,1,present,8,4,0,11110000,1,0,0
LongNoteHead,2,1,present,8,4,3,11110000,1,1,0
LongNoteHead,2,1,present,8,5,2,11111000,2,2,0
LongNoteHead,2,1,present,8,8,7,11111111,4,4,0
LongNoteHead,2,1,present,9,1,0,10000000,7,5,0
LongNoteHead,2,1,present,9,2,0,10001000,2,2,1
LongNoteHead,2,1,present,9,2,0,11000000,13,12,6
LongNoteHead,2,1,present,9,2,1,11000000,1,1,0
LongNoteHead,2,1,present,9,3,0,10001100,1,1,0
LongNoteHead,2,1,present,9,3,0,10110000,1,1,2
LongNoteHead,2,1,present,9,3,0,11001000,2,1,2
LongNoteHead,2,1,present,9,3,1,11001000,1,1,0
LongNoteHead,2,1,present,9,4,0,11001100,2,1,2
LongNoteHead,2,1,present,9,4,0,11110000,2,2,3
LongNoteHead,2,1,present,9,4,1,11001100,1,1,1
LongNoteHead,2,1,present,9,4,1,11101000,1,1,0
LongNoteHead,2,1,present,9,4,2,11001100,1,1,0
LongNoteHead,2,1,present,9,5,0,11111000,3,3,5
LongNoteHead,2,1,present,9,6,0,11111100,2,1,4
LongNoteHead,2,1,present,9,8,4,11111111,2,2,0
LongNoteHead,2,1,present,9,8,5,11111111,2,2,0
LongNoteHead,3,2,absent,0,0,0,00000000,10,0,0
LongNoteHead,3,2,absent,1,1,0,10000000,6,0,6
LongNoteHead,3,2,absent,1,1,1,10000000,1,0,0
LongNoteHead,3,2,absent,1,2,0,10001000,1,0,2
LongNoteHead,3,2,absent,1,2,0,11000000,6,0,12
LongNoteHead,3,2,absent,1,2,2,10001000,1,0,0
LongNoteHead,3,2,absent,1,2,2,11000000,2,0,0
LongNoteHead,3,2,absent,1,3,0,10001100,1,0,3
LongNoteHead,3,2,absent,1,3,3,11001000,2,0,0
LongNoteHead,3,2,absent,1,4,0,11110000,1,0,4
LongNoteHead,3,2,absent,1,4,4,11001100,2,0,0
LongNoteHead,3,2,absent,10,1,0,10000000,2,2,0
LongNoteHead,3,2,absent,10,2,0,11000000,4,4,1
LongNoteHead,3,2,absent,10,3,0,11001000,6,6,3
LongNoteHead,3,2,absent,10,3,0,11100000,9,9,7
LongNoteHead,3,2,absent,10,3,1,11001000,2,2,0
LongNoteHead,3,2,absent,10,3,1,11100000,1,1,0
LongNoteHead,3,2,absent,10,4,0,11001100,10,10,6
LongNoteHead,3,2,absent,10,4,0,11101000,4,4,2
LongNoteHead,3,2,absent,10,4,0,11110000,1,1,0
LongNoteHead,3,2,absent,10,4,1,11101000,1,1,1
LongNoteHead,3,2,absent,10,4,2,11110000,1,1,0
LongNoteHead,3,2,absent,10,5,0,11101100,2,2,1
LongNoteHead,3,2,absent,10,5,0,11111000,2,2,4
LongNoteHead,3,2,absent,10,5,1,11101100,1,1,0
LongNoteHead,3,2,absent,10,5,1,11111000,1,1,2
LongNoteHead,3,2,absent,10,5,2,11111000,1,1,1
LongNoteHead,3,2,absent,10,6,0,11111100,1,1,2
LongNoteHead,3,2,absent,2,1,0,10000000,4,1,0
LongNoteHead,3,2,absent,2,2,0,11000000,9,8,1
LongNoteHead,3,2,absent,2,2,1,11000000,7,7,0
LongNoteHead,3,2,absent,2,3,0,10001100,1,0,2
LongNoteHead,3,2,absent,2,3,0,11001000,1,0,1
LongNoteHead,3,2,absent,2,3,1,11001000,2,2,0
LongNoteHead,3,2,absent,2,3,2,11001000,1,1,0
LongNoteHead,3,2,absent,2,4,0,11110000,1,1,0
LongNoteHead,3,2,absent,2,4,1,11101000,1,1,1
LongNoteHead,3,2,absent,2,5,1,11111000,1,1,0
LongNoteHead,3,2,absent,2,5,2,11101100,1,1,0
LongNoteHead,3,2,absent,2,5,3,11101100,1,1,0
LongNoteHead,3,2,absent,2,8,4,11111111,2,2,0
LongNoteHead,3,2,absent,2,8,6,11111111,11,11,0
LongNoteHead,3,2,absent,3,1,0,10000000,1,1,0
LongNoteHead,3,2,absent,3,2,0,11000000,6,0,4
LongNoteHead,3,2,absent,3,3,0,11001000,1,1,0
LongNoteHead,3,2,absent,3,3,1,11001000,1,1,0
LongNoteHead,3,2,absent,3,3,1,11100000,2,2,0
LongNoteHead,3,2,absent,3,4,1,11101000,1,1,1
LongNoteHead,3,2,absent,3,4,2,11001100,3,3,0
LongNoteHead,3,2,absent,3,5,3,11101100,2,2,0
LongNoteHead,3,2,absent,3,6,4,11111100,2,2,0
LongNoteHead,3,2,absent,3,8,4,11111111,3,3,0
LongNoteHead,3,2,absent,3,8,6,11111111,15,15,0
LongNoteHead,3,2,absent,4,2,0,11000000,4,3,0
LongNoteHead,3,2,absent,4,3,0,11001000,3,2,1
LongNoteHead,3,2,absent,4,3,0,11100000,2,1,2
LongNoteHead,3,2,absent,4,3,1,11001000,1,1,0
LongNoteHead,3,2,absent,4,3,1,11100000,2,2,1
LongNoteHead,3,2,absent,4,4,0,11001100,2,2,0
LongNoteHead,3,2,absent,4,4,0,11101000,1,1,1
LongNoteHead,3,2,absent,4,4,1,11001100,1,1,0
LongNoteHead,3,2,absent,4,4,1,11110000,1,1,0
LongNoteHead,3,2,absent,4,5,0,11101100,4,4,1
LongNoteHead,3,2,absent,4,5,0,11111000,1,1,1
LongNoteHead,3,2,absent,4,5,1,11101100,2,2,0
LongNoteHead,3,2,absent,4,5,1,11111000,3,3,2
LongNoteHead,3,2,absent,4,6,2,11111100,2,2,0
LongNoteHead,3,2,absent,4,8,0,11111111,3,3,4
LongNoteHead,3,2,absent,4,8,2,11111111,6,6,0
LongNoteHead,3,2,absent,4,8,3,11111111,7,7,0
LongNoteHead,3,2,absent,4,8,4,11111111,17,17,0
LongNoteHead,3,2,absent,4,8,5,11111111,6,6,0
LongNoteHead,3,2,absent,5,1,0,10000000,2,1,0
LongNoteHead,3,2,absent,5,2,0,11000000,13,6,3
LongNoteHead,3,2,absent,5,3,0,11001000,7,5,3
LongNoteHead,3,2,absent,5,3,0,11100000,3,1,2
LongNoteHead,3,2,absent,5,4,0,11001100,2,2,0
LongNoteHead,3,2,absent,5,4,0,11101000,2,2,0
LongNoteHead,3,2,absent,5,4,0,11110000,1,1,2
LongNoteHead,3,2,absent,5,4,1,11101000,3,3,1
LongNoteHead,3,2,absent,5,4,2,11001100,2,2,0
LongNoteHead,3,2,absent,5,5,0,11101100,1,0,1
LongNoteHead,3,2,absent,5,6,0,11111100,1,1,2
LongNoteHead,3,2,absent,5,8,6,11111111,2,2,0
LongNoteHead,3,2,absent,6,1,0,10000000,2,2,0
LongNoteHead,3,2,absent,6,2,0,11000000,21,20,1
LongNoteHead,3,2,absent,6,2,1,11000000,1,1,0
LongNoteHead,3,2,absent,6,3,0,11001000,9,9,1
LongNoteHead,3,2,absent,6,3,0,11100000,5,5,5
LongNoteHead,3,2,absent,6,3,1,11001000,3,3,1
LongNoteHead,3,2,absent,6,4,0,11001100,15,15,13
LongNoteHead,3,2,absent,6,4,0,11101000,1,1,0
LongNoteHead,3,2,absent,6,4,0,11110000,3,3,2
LongNoteHead,3,2,absent,6,4,1,11101000,3,3,3
LongNoteHead,3,2,absent,6,4,2,11001100,3,3,0
LongNoteHead,3,2,absent,6,4,2,11110000,2,2,0
LongNoteHead,3,2,absent,6,5,0,11101100,3,3,4
LongNoteHead,3,2,absent,6,5,1,11101100,1,1,1
LongNoteHead,3,2,absent,6,5,2,11101100,1,1,1
LongNoteHead,3,2,absent,6,6,0,11111100,2,2,6
LongNoteHead,3,2,absent,6,6,2,11111100,1,1,0
LongNoteHead,3,2,absent,7,1,0,10000000,2,1,0
LongNoteHead,3,2,absent,7,2,0,11000000,31,30,0
LongNoteHead,3,2,absent,7,2,1,11000000,1,1,0
LongNoteHead,3,2,absent,7,3,0,11001000,14,13,6
LongNoteHead,3,2,absent,7,3,0,11100000,7,4,5
LongNoteHead,3,2,absent,7,3,1,11001000,3,3,0
LongNoteHead,3,2,absent,7,3,1,11100000,2,2,0
LongNoteHead,3,2,absent,7,4,0,11001100,19,18,21
LongNoteHead,3,2,absent,7,4,0,11101000,5,5,6
LongNoteHead,3,2,absent,7,4,0,11110000,8,8,9
LongNoteHead,3,2,absent,7,4,1,11001100,1,1,0
LongNoteHead,3,2,absent,7,4,1,11101000,4,4,5
LongNoteHead,3,2,absent,7,4,2,11001100,1,1,0
LongNoteHead,3,2,absent,7,4,2,11101000,2,2,0
LongNoteHead,3,2,absent,7,4,2,11110000,5,5,0
LongNoteHead,3,2,absent,7,5,0,11101100,2,2,1
LongNoteHead,3,2,absent,7,5,0,11111000,1,1,1
LongNoteHead,3,2,absent,7,5,2,11111000,1,1,1
LongNoteHead,3,2,absent,7,6,0,11111100,3,3,6
LongNoteHead,3,2,absent,7,6,2,11111100,2,2,4
LongNoteHead,3,2,absent,7,6,4,11111100,1,1,0
LongNoteHead,3,2,absent,7,7,0,11111110,1,1,1
LongNoteHead,3,2,absent,7,8,0,11111111,2,2,8
LongNoteHead,3,2,absent,7,8,6,11111111,2,2,0
