stratum,chart_id,seed,control_added,treatment_added,control_taps,treatment_taps,control_lns,treatment_lns,control_output_sha256,treatment_output_sha256,control_hard_violations,treatment_hard_violations,treatment_only_violations,control_only_violations,control_geometry_set_differences,treatment_geometry_set_differences,frozen_selected_lane_rejects,control_rng_calls,treatment_rng_calls,control_rng_sha256,treatment_rng_sha256,first_governed_divergence,first_full_state_reconvergence,control_reparse_exact,treatment_reparse_exact,default_reference_exact,treatment_deterministic,g1_evidence_invariant,control_gate_rng_calls,treatment_gate_rng_calls
primary,0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,11,213,213,81,81,132,132,D709BE7317AE7BE13375B65C4EF2E12E6C161FB2DC8F02BAD66961FCF443976F,D709BE7317AE7BE13375B65C4EF2E12E6C161FB2DC8F02BAD66961FCF443976F,0,0,0,0,0,0,0,2308,2308,2E23F6FBAC6EE1CD747EEB756577EBA1ABC4DBC3B9E5543798F54B7546529510,2E23F6FBAC6EE1CD747EEB756577EBA1ABC4DBC3B9E5543798F54B7546529510,"","",true,true,true,true,true,0,0
primary,0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,12,220,220,78,78,142,142,ED603518127F303A35DF130D2E1064B71B46A1209D52979C5099F0E17553ADD7,ED603518127F303A35DF130D2E1064B71B46A1209D52979C5099F0E17553ADD7,0,0,0,0,0,0,0,2325,2325,778899D75722C2235C3150AD5D60E1F2135D1572CCEF4ED8F79507B627B050B5,778899D75722C2235C3150AD5D60E1F2135D1572CCEF4ED8F79507B627B050B5,"","",true,true,true,true,true,0,0
primary,0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,13,203,203,81,81,122,122,262CF9CBC78D312F245349B80D6129043E45661B448B6DA056D6C8DF1C08C4CD,262CF9CBC78D312F245349B80D6129043E45661B448B6DA056D6C8DF1C08C4CD,0,0,0,0,0,0,0,2288,2288,2147133A60E56FB3966111E13F87B437C0700633EC2750D1DC5D641DECDF5FA0,2147133A60E56FB3966111E13F87B437C0700633EC2750D1DC5D641DECDF5FA0,"","",true,true,true,true,true,0,0
primary,0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,14,209,209,77,77,132,132,95750726360AF1EB4AB9FE5F86B378D52890DCE4D495F394990427E8A3421D7B,95750726360AF1EB4AB9FE5F86B378D52890DCE4D495F394990427E8A3421D7B,0,0,0,0,0,0,0,2304,2304,6923CAA5F9A9C97BC8F6771BFFB262117AD80F2E9F57D8596F4D89B1836D9026,6923CAA5F9A9C97BC8F6771BFFB262117AD80F2E9F57D8596F4D89B1836D9026,"","",true,true,true,true,true,0,0
primary,0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,15,209,209,80,80,129,129,2E3F2C97EBB2392601493E902D336138799817923709F7ADEF38C31D20A0BED9,2E3F2C97EBB2392601493E902D336138799817923709F7ADEF38C31D20A0BED9,0,0,0,0,0,0,0,2301,2301,D490C6A33029B6988282355D6E3F55F560A4CBF694829B69853DB9FAF1E25919,D490C6A33029B6988282355D6E3F55F560A4CBF694829B69853DB9FAF1E25919,"","",true,true,true,true,true,0,0
primary,0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,16,211,211,81,81,130,130,B3F45411980A90CA0BC123EA7337F8545A78DD0B894899EB61DB8770AA8BBABC,B3F45411980A90CA0BC123EA7337F8545A78DD0B894899EB61DB8770AA8BBABC,0,0,0,0,0,0,0,2304,2304,7864CC5A3A8EE7CB89DA8ACA8AE381EDF38A9BD052E09A198445CA6D06C4D645,7864CC5A3A8EE7CB89DA8ACA8AE381EDF38A9BD052E09A198445CA6D06C4D645,"","",true,true,true,true,true,0,0
primary,0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,17,200,200,76,76,124,124,C5FE21FF1BC052220222071A7399A2A8EA661E17EB2CC623C37221B39B1CA51E,C5FE21FF1BC052220222071A7399A2A8EA661E17EB2CC623C37221B39B1CA51E,0,0,0,0,0,0,0,2287,2287,35FC373CB00DAECBEF631EBCFD83E45D600936D68AB9BCAE9B78DAE40E31D252,35FC373CB00DAECBEF631EBCFD83E45D600936D68AB9BCAE9B78DAE40E31D252,"","",true,true,true,true,true,0,0
primary,0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,18,183,183,66,66,117,117,B195425940461E40296B8600F551293732D99D0AEA1873F989F76EB3F1466103,B195425940461E40296B8600F551293732D99D0AEA1873F989F76EB3F1466103,0,0,0,0,0,0,0,2263,2263,AA24FB4481A5CF9BD52B4B28A400F98B53D195DB5219F28ED0814AF911B04200,AA24FB4481A5CF9BD52B4B28A400F98B53D195DB5219F28ED0814AF911B04200,"","",true,true,true,true,true,0,0
primary,0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,19,210,210,76,76,134,134,3EF72F8D5E5ED8ED61ACEE9EE74F1E3923C904B8A961E82F906B97371841A83F,3EF72F8D5E5ED8ED61ACEE9EE74F1E3923C904B8A961E82F906B97371841A83F,0,0,0,0,0,0,0,2307,2307,FBE87ED6D9522759D79ED248D8380B5F8FEF55EC18FD80D72685AACCA4BCE0D4,FBE87ED6D9522759D79ED248D8380B5F8FEF55EC18FD80D72685AACCA4BCE0D4,"","",true,true,true,true,true,0,0
primary,0338ADEB4CDBB086D7819736292CB932608EA53DAD840AD3B8BBEAA605AC8349,20,192,192,75,75,117,117,34426B475709C6D3DEDEB9D7430ABA4FCF3381A5C42D13DEB2F22027833B97F8,34426B475709C6D3DEDEB9D7430ABA4FCF3381A5C42D13DEB2F22027833B97F8,0,0,0,0,0,0,0,2272,2272,AC64C40794EB14F4DB0E0E3D4ECE902D4388F1401B534ED8BB6FB33BF47C0420,AC64C40794EB14F4DB0E0E3D4ECE902D4388F1401B534ED8BB6FB33BF47C0420,"","",true,true,true,true,true,0,0
