scope,family_key,is_target_candidate,parent_view,child_view,resolutions
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",yes,ReducedPrevious,ReducedPreviousTransition,1041
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",yes,ReducedPreviousTransition,ReducedPrevNext,207
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",yes,ReducedPrevNext,ReducedHeldPrevNext,207
global,"GLOBAL",no,ReducedHeld,ReducedHeldPrevNext,1648
global,"GLOBAL",no,ReducedNext,ReducedNextTransition,19889
global,"GLOBAL",no,ReducedNextTransition,ReducedPrevNext,2052
global,"GLOBAL",no,ReducedPrevious,ReducedPreviousTransition,18670
global,"GLOBAL",no,ReducedPreviousTransition,ReducedPrevNext,2052
global,"GLOBAL",no,ReducedPrevNext,ReducedHeldPrevNext,1648
global,"GLOBAL",yes,ReducedHeld,ReducedHeldPrevNext,5955
global,"GLOBAL",yes,ReducedNext,ReducedNextTransition,14655
global,"GLOBAL",yes,ReducedNextTransition,ReducedPrevNext,6193
global,"GLOBAL",yes,ReducedPrevious,ReducedPreviousTransition,14625
global,"GLOBAL",yes,ReducedPreviousTransition,ReducedPrevNext,6193
global,"GLOBAL",yes,ReducedPrevNext,ReducedHeldPrevNext,5955
