stratum,chart_id,seed,frozen_arm,opportunity_key,lane,start_time,end_time,frozen_known,historical_class,hardened_class,direct_reject,lineage_id,divergence_opportunity,divergence_control_state,divergence_treatment_state,parent_states_different,no_reconvergence_before_case,target_absent_in_treatment,candidate_shape_reached_in_treatment,frozen_lane_selected_in_treatment,frozen_commit_absent_in_treatment,divergence_governed_by_canonical,temporal_only_explanation,evidence
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,15,control,"OP-00005835-BaseHead-S5835-T285321-ANA",6,285321,,true,A_REACHED_CANONICAL_REJECT,A_DIRECT_CANONICAL_REJECT,true,"SRG-DIV-A4E72FC02C97E7CAFECFF72F","OP-00000055-BaseHead-S55-T6926-ANA",034261BD8CC3BEBFD78C828B2D78B0D95616114FFC102163BBDADE317BFE0BCB,A2467A0376651DD577B2A99A4AF842BDFED66FAB0E169D92691CF64EFE7E1BC8,true,true,true,true,false,true,true,false,"Equivalent candidate reached; control committed the frozen lane, canonical rejected it, and treatment did not commit that object."
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,15,control,"OP-00005865-BaseHead-S5865-T286468-ANA",0,286468,,true,A_REACHED_CANONICAL_REJECT,A_DIRECT_CANONICAL_REJECT,true,"SRG-DIV-A4E72FC02C97E7CAFECFF72F","OP-00000055-BaseHead-S55-T6926-ANA",034261BD8CC3BEBFD78C828B2D78B0D95616114FFC102163BBDADE317BFE0BCB,A2467A0376651DD577B2A99A4AF842BDFED66FAB0E169D92691CF64EFE7E1BC8,true,true,true,true,false,true,true,false,"Equivalent candidate reached; control committed the frozen lane, canonical rejected it, and treatment did not commit that object."
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,15,control,"OP-00007221-BaseHead-S7221-T342410-ANA",6,342410,,true,A_REACHED_CANONICAL_REJECT,A_DIRECT_CANONICAL_REJECT,true,"SRG-DIV-A4E72FC02C97E7CAFECFF72F","OP-00000055-BaseHead-S55-T6926-ANA",034261BD8CC3BEBFD78C828B2D78B0D95616114FFC102163BBDADE317BFE0BCB,A2467A0376651DD577B2A99A4AF842BDFED66FAB0E169D92691CF64EFE7E1BC8,true,true,true,true,false,true,true,false,"Equivalent candidate reached; control committed the frozen lane, canonical rejected it, and treatment did not commit that object."
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,16,control,"OP-00000370-BaseHead-S370-T29933-ANA",4,29933,,true,A_REACHED_CANONICAL_REJECT,A_DIRECT_CANONICAL_REJECT,true,"","",,,false,false,true,true,false,true,false,false,"Equivalent candidate reached; control committed the frozen lane, canonical rejected it, and treatment did not commit that object."
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,16,control,"OP-00000807-BaseHead-S807-T53881-ANA",2,53881,,true,A_REACHED_CANONICAL_REJECT,A_DIRECT_CANONICAL_REJECT,true,"SRG-DIV-78FDE8ED3368C832CBCF4EAC","OP-00000370-BaseHead-S370-T29933-ANA",F5C9A475FB076573D965B49573ECE105B8ABB98880DD25B63EE940A42FF549ED,9854B4562DD6ED506EB203270C0ACB3C03B36797A6EC00B978278F9E841A8680,true,true,true,true,false,true,true,false,"Equivalent candidate reached; control committed the frozen lane, canonical rejected it, and treatment did not commit that object."
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,16,control,"OP-00000890-BaseHead-S890-T58016-ANA",2,58016,,true,A_REACHED_CANONICAL_REJECT,A_DIRECT_CANONICAL_REJECT,true,"SRG-DIV-78FDE8ED3368C832CBCF4EAC","OP-00000370-BaseHead-S370-T29933-ANA",F5C9A475FB076573D965B49573ECE105B8ABB98880DD25B63EE940A42FF549ED,9854B4562DD6ED506EB203270C0ACB3C03B36797A6EC00B978278F9E841A8680,true,true,true,true,false,true,true,false,"Equivalent candidate reached; control committed the frozen lane, canonical rejected it, and treatment did not commit that object."
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,16,control,"OP-00001383-BaseHead-S1383-T83392-ANA",5,83392,,true,A_REACHED_CANONICAL_REJECT,A_DIRECT_CANONICAL_REJECT,true,"SRG-DIV-78FDE8ED3368C832CBCF4EAC","OP-00000370-BaseHead-S370-T29933-ANA",F5C9A475FB076573D965B49573ECE105B8ABB98880DD25B63EE940A42FF549ED,9854B4562DD6ED506EB203270C0ACB3C03B36797A6EC00B978278F9E841A8680,true,true,true,true,false,true,true,false,"Equivalent candidate reached; control committed the frozen lane, canonical rejected it, and treatment did not commit that object."
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,16,control,"OP-00001865-BaseHead-S1865-T106963-ANA",4,106963,,true,A_REACHED_CANONICAL_REJECT,A_DIRECT_CANONICAL_REJECT,true,"SRG-DIV-78FDE8ED3368C832CBCF4EAC","OP-00000370-BaseHead-S370-T29933-ANA",F5C9A475FB076573D965B49573ECE105B8ABB98880DD25B63EE940A42FF549ED,9854B4562DD6ED506EB203270C0ACB3C03B36797A6EC00B978278F9E841A8680,true,true,true,true,false,true,true,false,"Equivalent candidate reached; control committed the frozen lane, canonical rejected it, and treatment did not commit that object."
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,16,control,"OP-00002011-BaseHead-S2011-T113956-ANA",6,113956,,true,A_REACHED_CANONICAL_REJECT,A_DIRECT_CANONICAL_REJECT,true,"SRG-DIV-78FDE8ED3368C832CBCF4EAC","OP-00000370-BaseHead-S370-T29933-ANA",F5C9A475FB076573D965B49573ECE105B8ABB98880DD25B63EE940A42FF549ED,9854B4562DD6ED506EB203270C0ACB3C03B36797A6EC00B978278F9E841A8680,true,true,true,true,false,true,true,false,"Equivalent candidate reached; control committed the frozen lane, canonical rejected it, and treatment did not commit that object."
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,16,control,"OP-00004544-BaseHead-S4544-T236615-ANA",1,236615,,true,A_REACHED_CANONICAL_REJECT,A_DIRECT_CANONICAL_REJECT,true,"SRG-DIV-78FDE8ED3368C832CBCF4EAC","OP-00000370-BaseHead-S370-T29933-ANA",F5C9A475FB076573D965B49573ECE105B8ABB98880DD25B63EE940A42FF549ED,9854B4562DD6ED506EB203270C0ACB3C03B36797A6EC00B978278F9E841A8680,true,true,true,true,false,true,true,false,"Equivalent candidate reached; control committed the frozen lane, canonical rejected it, and treatment did not commit that object."
