family_key,relative_path,version,key_count,charts,view,total_trials,baseline_competing_trials,primary_baseline_alternatives_sum,primary_contextual_alternatives_sum,primary_baseline_alternatives_mean,primary_contextual_alternatives_mean,no_comparable_exact_context,comparable_target_unsupported,target_supported_still_competing,target_resolved_unique,unique_wrong_completion,primary_no_comparable_exact_context,primary_comparable_target_unsupported,primary_target_supported_still_competing,primary_target_resolved_unique,primary_unique_wrong_completion,exact_target_supported,lane_supported_but_type_different,contextual_witness_references,target_group_leakage,future_held_leakage,held_tail_encoded_as_head,donor_nesting_violations,beat_ms_materialization_differences,context_build_ms,exact_match_ms,detailed_artifact_bytes,micro_coverage_rate,micro_target_supported_rate,primary_resolution_rate,macro_family_coverage_rate,macro_family_primary_resolution_rate
"-45 | MIDORIGO QUEEN BEE | ITZBENJA616","ManiaAddNotesLab-932f92eec34b42a0bbe1ef0b2ede4d5c/-45 - Midorigo Queen Bee (ItzBenja616) [Sooth].osu","Sooth",7,1,ReducedOnly,4218,4162,21589,21589,5.187169629986,5.187169629986,15,16,4162,14,11,0,0,4162,0,0,4176,215,442052,0,0,0,0,0,443.7171,400.0038,49429726,0.996443812233,0.990042674253,0,N/A,N/A
"KIKUO | KARA KARA KARA NO KARA | XNETT","ManiaAddNotesLab-3dda05e77fb04c549bcf02b2d695642f/Kikuo - Kara Kara Kara no Kara (xNett) [Karanival!].osu","Karanival!",7,1,ReducedPrevNext,7918,6868,61380,541,8.937099592312,0.078771112405,7410,3,31,405,69,6361,3,31,405,68,436,0,748,0,0,0,0,0,654.7617,428.5317,97576155,0.064157615559,0.055064410205,0.058969132207,N/A,N/A
"KIKUO | KARA KARA KARA NO KARA | XNETT","ManiaAddNotesLab-3dda05e77fb04c549bcf02b2d695642f/Kikuo - Kara Kara Kara no Kara (xNett) [Karanival!].osu","Karanival!",7,1,ReducedHeldPrevNext,7918,6868,61380,362,8.937099592312,0.052708211998,7561,0,6,328,23,6512,0,6,328,22,334,0,456,0,0,0,0,0,654.7617,428.5317,97576155,0.045087143218,0.042182369285,0.047757716948,N/A,N/A
"MORO | HOLY BITCH | ITZBENJA616","ManiaAddNotesLab-c9792f6e6e054cca9f0a2e5a2d504b45/moro - Holy Bitch (ItzBenja616) [Selfishness].osu","Selfishness",7,1,ReducedOnly,7020,7002,31636,31636,4.51813767495,4.51813767495,0,0,7002,0,18,0,0,7002,0,0,7002,0,690934,0,0,0,0,0,264.3015,452.6742,81975865,1,0.997435897436,0,N/A,N/A
"MORO | HOLY BITCH | ITZBENJA616","ManiaAddNotesLab-c9792f6e6e054cca9f0a2e5a2d504b45/moro - Holy Bitch (ItzBenja616) [Selfishness].osu","Selfishness",7,1,ReducedHeld,7020,7002,31636,31636,4.51813767495,4.51813767495,0,0,7002,0,18,0,0,7002,0,0,7002,0,690934,0,0,0,0,0,264.3015,452.6742,81975865,1,0.997435897436,0,N/A,N/A
"MORO | HOLY BITCH | ITZBENJA616","ManiaAddNotesLab-c9792f6e6e054cca9f0a2e5a2d504b45/moro - Holy Bitch (ItzBenja616) [Selfishness].osu","Selfishness",7,1,ReducedPrevious,7020,7002,31636,14505,4.51813767495,2.071550985433,956,322,4435,730,577,938,322,4435,730,577,5165,0,48556,0,0,0,0,0,264.3015,452.6742,81975865,0.863817663818,0.735754985755,0.104255926878,N/A,N/A
"MORO | HOLY BITCH | ITZBENJA616","ManiaAddNotesLab-c9792f6e6e054cca9f0a2e5a2d504b45/moro - Holy Bitch (ItzBenja616) [Selfishness].osu","Selfishness",7,1,ReducedPreviousTransition,7020,7002,31636,10088,4.51813767495,1.440731219652,2158,307,2932,866,757,2140,307,2932,866,757,3798,0,28846,0,0,0,0,0,264.3015,452.6742,81975865,0.692592592593,0.541025641026,0.123678948872,N/A,N/A
"MORO | HOLY BITCH | ITZBENJA616","ManiaAddNotesLab-c9792f6e6e054cca9f0a2e5a2d504b45/moro - Holy Bitch (ItzBenja616) [Selfishness].osu","Selfishness",7,1,ReducedNext,7020,7002,31636,14422,4.51813767495,2.059697229363,1072,422,4258,760,508,1056,422,4258,760,506,5018,0,51786,0,0,0,0,0,264.3015,452.6742,81975865,0.847293447293,0.714814814815,0.108540417024,N/A,N/A
"MORO | HOLY BITCH | ITZBENJA616","ManiaAddNotesLab-c9792f6e6e054cca9f0a2e5a2d504b45/moro - Holy Bitch (ItzBenja616) [Selfishness].osu","Selfishness",7,1,ReducedNextTransition,7020,7002,31636,10028,4.51813767495,1.43216223936,2226,306,2996,734,758,2210,306,2996,734,756,3730,0,30416,0,0,0,0,0,264.3015,452.6742,81975865,0.682905982906,0.531339031339,0.104827192231,N/A,N/A
"MORO | HOLY BITCH | ITZBENJA616","ManiaAddNotesLab-c9792f6e6e054cca9f0a2e5a2d504b45/moro - Holy Bitch (ItzBenja616) [Selfishness].osu","Selfishness",7,1,ReducedPrevNext,7020,7002,31636,2238,4.51813767495,0.319622964867,5200,14,395,1022,389,5182,14,395,1022,389,1417,0,3526,0,0,0,0,0,264.3015,452.6742,81975865,0.259259259259,0.201851851852,0.145958297629,N/A,N/A
"MORO | HOLY BITCH | ITZBENJA616","ManiaAddNotesLab-c9792f6e6e054cca9f0a2e5a2d504b45/moro - Holy Bitch (ItzBenja616) [Selfishness].osu","Selfishness",7,1,ReducedHeldPrevNext,7020,7002,31636,2238,4.51813767495,0.319622964867,5200,14,395,1022,389,5182,14,395,1022,389,1417,0,3526,0,0,0,0,0,264.3015,452.6742,81975865,0.259259259259,0.201851851852,0.145958297629,N/A,N/A
"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616","ManiaAddNotesLab-cb69a956fc164cf9a7c21fe1b49dbb13/NJK Record feat. 3L - Spring of Dreams (ItzBenja616) [KNH - Lvl 81 (No SV)] CUSTOM.osu","KNH** - Lvl 81 (No SV) CUSTOM",7,1,ReducedOnly,3607,2821,24115,24115,8.548387096774,8.548387096774,218,320,2821,65,183,0,0,2821,0,0,2886,1849,293924,0,0,0,0,0,202.1932,163.9221,44892454,0.93956196285,0.800110895481,0,N/A,N/A
"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616","ManiaAddNotesLab-cb69a956fc164cf9a7c21fe1b49dbb13/NJK Record feat. 3L - Spring of Dreams (ItzBenja616) [KNH - Lvl 81 (No SV)] CUSTOM.osu","KNH** - Lvl 81 (No SV) CUSTOM",7,1,ReducedHeld,3607,2821,24115,5295,8.548387096774,1.876993973768,1272,328,733,800,474,619,307,733,774,388,1533,340,13272,0,0,0,0,0,202.1932,163.9221,44892454,0.647352370391,0.425006930968,0.2743707905,N/A,N/A
"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616","ManiaAddNotesLab-cb69a956fc164cf9a7c21fe1b49dbb13/NJK Record feat. 3L - Spring of Dreams (ItzBenja616) [KNH - Lvl 81 (No SV)] CUSTOM.osu","KNH** - Lvl 81 (No SV) CUSTOM",7,1,ReducedPrevious,3607,2821,24115,3965,8.548387096774,1.405529953917,1950,368,739,173,377,1218,361,739,161,342,912,74,6312,0,0,0,0,0,202.1932,163.9221,44892454,0.45938453008,0.252841696701,0.057071960298,N/A,N/A
"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616","ManiaAddNotesLab-cb69a956fc164cf9a7c21fe1b49dbb13/NJK Record feat. 3L - Spring of Dreams (ItzBenja616) [KNH - Lvl 81 (No SV)] CUSTOM.osu","KNH** - Lvl 81 (No SV) CUSTOM",7,1,ReducedPreviousTransition,3607,2821,24115,2860,8.548387096774,1.013824884793,2242,271,592,187,315,1492,267,592,175,295,779,27,4372,0,0,0,0,0,202.1932,163.9221,44892454,0.378430828944,0.215968949265,0.062034739454,N/A,N/A
"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616","ManiaAddNotesLab-cb69a956fc164cf9a7c21fe1b49dbb13/NJK Record feat. 3L - Spring of Dreams (ItzBenja616) [KNH - Lvl 81 (No SV)] CUSTOM.osu","KNH** - Lvl 81 (No SV) CUSTOM",7,1,ReducedNext,3607,2821,24115,4175,8.548387096774,1.479971641262,1875,384,745,173,430,1153,371,745,163,389,918,93,6486,0,0,0,0,0,202.1932,163.9221,44892454,0.48017743277,0.254505128916,0.057780928749,N/A,N/A
