chart_id,seed,control_hard,treatment_hard,attributable_introduced,unattributable,serialization_unattributable,provenance_validation_failures
BC0401B460251A3CD37EBB8FB6BCDE3D75B619F692C7E9373BF8FC84D089AD95,18,0,0,0,0,0,0
BC0401B460251A3CD37EBB8FB6BCDE3D75B619F692C7E9373BF8FC84D089AD95,19,0,0,0,0,0,0
BC0401B460251A3CD37EBB8FB6BCDE3D75B619F692C7E9373BF8FC84D089AD95,20,0,0,0,0,0,0
BEF3BB94655D3F4749FA91C3C535FD5CFB8387AB19B951DDA3D3877B705677D4,1,0,0,0,0,0,0
BEF3BB94655D3F4749FA91C3C535FD5CFB8387AB19B951DDA3D3877B705677D4,2,0,0,0,0,0,0
BEF3BB94655D3F4749FA91C3C535FD5CFB8387AB19B951DDA3D3877B705677D4,3,0,0,0,0,0,0
BEF3BB94655D3F4749FA91C3C535FD5CFB8387AB19B951DDA3D3877B705677D4,4,0,0,0,0,0,0
BEF3BB94655D3F4749FA91C3C535FD5CFB8387AB19B951DDA3D3877B705677D4,5,0,0,0,0,0,0
BEF3BB94655D3F4749FA91C3C535FD5CFB8387AB19B951DDA3D3877B705677D4,6,0,0,0,0,0,0
BEF3BB94655D3F4749FA91C3C535FD5CFB8387AB19B951DDA3D3877B705677D4,7,0,0,0,0,0,0
BEF3BB94655D3F4749FA91C3C535FD5CFB8387AB19B951DDA3D3877B705677D4,8,0,0,0,0,0,0
BEF3BB94655D3F4749FA91C3C535FD5CFB8387AB19B951DDA3D3877B705677D4,9,0,0,0,0,0,0
BEF3BB94655D3F4749FA91C3C535FD5CFB8387AB19B951DDA3D3877B705677D4,10,0,0,0,0,0,0
BEF3BB94655D3F4749FA91C3C535FD5CFB8387AB19B951DDA3D3877B705677D4,11,0,0,0,0,0,0
BEF3BB94655D3F4749FA91C3C535FD5CFB8387AB19B951DDA3D3877B705677D4,12,0,0,0,0,0,0
BEF3BB94655D3F4749FA91C3C535FD5CFB8387AB19B951DDA3D3877B705677D4,13,0,0,0,0,0,0
BEF3BB94655D3F4749FA91C3C535FD5CFB8387AB19B951DDA3D3877B705677D4,14,0,0,0,0,0,0
BEF3BB94655D3F4749FA91C3C535FD5CFB8387AB19B951DDA3D3877B705677D4,15,0,0,0,0,0,0
BEF3BB94655D3F4749FA91C3C535FD5CFB8387AB19B951DDA3D3877B705677D4,16,0,0,0,0,0,0
BEF3BB94655D3F4749FA91C3C535FD5CFB8387AB19B951DDA3D3877B705677D4,17,0,0,0,0,0,0
BEF3BB94655D3F4749FA91C3C535FD5CFB8387AB19B951DDA3D3877B705677D4,18,0,0,0,0,0,0
BEF3BB94655D3F4749FA91C3C535FD5CFB8387AB19B951DDA3D3877B705677D4,19,0,0,0,0,0,0
BEF3BB94655D3F4749FA91C3C535FD5CFB8387AB19B951DDA3D3877B705677D4,20,0,0,0,0,0,0
DAC0347BBDC54E15A080316356E2E9A0CC2002927FF4B031D5F995C6C832F5AF,1,0,0,0,0,0,0
DAC0347BBDC54E15A080316356E2E9A0CC2002927FF4B031D5F995C6C832F5AF,2,0,0,0,0,0,0
DAC0347BBDC54E15A080316356E2E9A0CC2002927FF4B031D5F995C6C832F5AF,3,0,0,0,0,0,0
DAC0347BBDC54E15A080316356E2E9A0CC2002927FF4B031D5F995C6C832F5AF,4,0,0,0,0,0,0
DAC0347BBDC54E15A080316356E2E9A0CC2002927FF4B031D5F995C6C832F5AF,5,0,0,0,0,0,0
DAC0347BBDC54E15A080316356E2E9A0CC2002927FF4B031D5F995C6C832F5AF,6,0,0,0,0,0,0
DAC0347BBDC54E15A080316356E2E9A0CC2002927FF4B031D5F995C6C832F5AF,7,0,0,0,0,0,0
DAC0347BBDC54E15A080316356E2E9A0CC2002927FF4B031D5F995C6C832F5AF,8,0,0,0,0,0,0
DAC0347BBDC54E15A080316356E2E9A0CC2002927FF4B031D5F995C6C832F5AF,9,0,0,0,0,0,0
DAC0347BBDC54E15A080316356E2E9A0CC2002927FF4B031D5F995C6C832F5AF,10,0,0,0,0,0,0
DAC0347BBDC54E15A080316356E2E9A0CC2002927FF4B031D5F995C6C832F5AF,11,0,0,0,0,0,0
DAC0347BBDC54E15A080316356E2E9A0CC2002927FF4B031D5F995C6C832F5AF,12,0,0,0,0,0,0
DAC0347BBDC54E15A080316356E2E9A0CC2002927FF4B031D5F995C6C832F5AF,13,0,0,0,0,0,0
DAC0347BBDC54E15A080316356E2E9A0CC2002927FF4B031D5F995C6C832F5AF,14,0,0,0,0,0,0
DAC0347BBDC54E15A080316356E2E9A0CC2002927FF4B031D5F995C6C832F5AF,15,0,0,0,0,0,0
DAC0347BBDC54E15A080316356E2E9A0CC2002927FF4B031D5F995C6C832F5AF,16,0,0,0,0,0,0
DAC0347BBDC54E15A080316356E2E9A0CC2002927FF4B031D5F995C6C832F5AF,17,0,0,0,0,0,0
